Geography,Gender,age,population
Nebraska,male,5_to_9_years,67915
Nebraska,male,10_to_14_years,67807
Nebraska,male,15_to_19_years,66581
Nebraska,male,20_to_24_years,70606
Nebraska,male,25_to_29_years,65683
Nebraska,male,30_to_34_years,66142
Nebraska,male,35_to_39_years,64093
Nebraska,male,40_to_44_years,55347
Nebraska,male,45_to_49_years,55822
Nebraska,male,50_to_54_years,57699
Nebraska,male,55_to_59_years,62783
Nebraska,male,60_to_64_years,56981
Nebraska,male,65_to_69_years,46838
Nebraska,male,70_to_74_years,33077
Nebraska,male,75_to_79_years,21901
Nebraska,male,80_to_84_years,15321
Nebraska,male,85_years_and_over,15138
Nevada,male,Under_5_years,95036
Nevada,male,5_to_9_years,98173
Nevada,male,10_to_14_years,98369
Nevada,male,15_to_19_years,93405
Nevada,male,20_to_24_years,93890
Nevada,male,25_to_29_years,114597
Nevada,male,30_to_34_years,109499
Nevada,male,35_to_39_years,104463
Nevada,male,40_to_44_years,96043
Nevada,male,45_to_49_years,102057
Nevada,male,50_to_54_years,98694
Nevada,male,55_to_59_years,96162
Nevada,male,60_to_64_years,86301
Nevada,male,65_to_69_years,76208
Nevada,male,70_to_74_years,61403
Nevada,male,75_to_79_years,39733
Nevada,male,80_to_84_years,22752
Nevada,male,85_years_and_over,16964
New Hampshire,male,Under_5_years,33067
New Hampshire,male,5_to_9_years,35295
New Hampshire,male,10_to_14_years,38785
New Hampshire,male,15_to_19_years,43520
New Hampshire,male,20_to_24_years,46138
New Hampshire,male,25_to_29_years,43415
New Hampshire,male,30_to_34_years,41000
New Hampshire,male,35_to_39_years,38852
New Hampshire,male,40_to_44_years,37009
New Hampshire,male,45_to_49_years,45749
New Hampshire,male,50_to_54_years,51211
New Hampshire,male,55_to_59_years,54469
New Hampshire,male,60_to_64_years,48418
New Hampshire,male,65_to_69_years,39685
New Hampshire,male,70_to_74_years,28974
New Hampshire,male,75_to_79_years,17627
New Hampshire,male,80_to_84_years,11328
New Hampshire,male,85_years_and_over,10467
New Jersey,male,Under_5_years,266484
New Jersey,male,5_to_9_years,276677
New Jersey,male,10_to_14_years,288378
New Jersey,male,15_to_19_years,290973
New Jersey,male,20_to_24_years,290463
New Jersey,male,25_to_29_years,300635
New Jersey,male,30_to_34_years,293556
New Jersey,male,35_to_39_years,290880
New Jersey,male,40_to_44_years,280469
New Jersey,male,45_to_49_years,304296
New Jersey,male,50_to_54_years,318638
New Jersey,male,55_to_59_years,317543
New Jersey,male,60_to_64_years,268885
New Jersey,male,65_to_69_years,209547
New Jersey,male,70_to_74_years,158367
New Jersey,male,75_to_79_years,103620
New Jersey,male,80_to_84_years,68932
New Jersey,male,85_years_and_over,68231
New Mexico,male,Under_5_years,65618
New Mexico,male,5_to_9_years,69535
New Mexico,male,10_to_14_years,70977
New Mexico,male,15_to_19_years,71131
New Mexico,male,20_to_24_years,74962
New Mexico,male,25_to_29_years,74978
New Mexico,male,30_to_34_years,70743
New Mexico,male,35_to_39_years,65866
New Mexico,male,40_to_44_years,57700
New Mexico,male,45_to_49_years,59095
New Mexico,male,50_to_54_years,61268
New Mexico,male,55_to_59_years,67883
New Mexico,male,60_to_64_years,63286
New Mexico,male,65_to_69_years,56782
New Mexico,male,70_to_74_years,42849
New Mexico,male,75_to_79_years,28013
New Mexico,male,80_to_84_years,18151
New Mexico,male,85_years_and_over,15307
New York,male,Under_5_years,595973
New York,male,5_to_9_years,580252
New York,male,10_to_14_years,582593
New York,male,15_to_19_years,621884
New York,male,20_to_24_years,684286
New York,male,25_to_29_years,763248
New York,male,30_to_34_years,704905
New York,male,35_to_39_years,635317
New York,male,40_to_44_years,578357
New York,male,45_to_49_years,629538
New York,male,50_to_54_years,661449
New York,male,55_to_59_years,662408
New York,male,60_to_64_years,581933
New York,male,65_to_69_years,471772
New York,male,70_to_74_years,344874
New York,male,75_to_79_years,229749
New York,male,80_to_84_years,154911
New York,male,85_years_and_over,154013
North Carolina,male,Under_5_years,311460
North Carolina,male,5_to_9_years,322385
North Carolina,male,10_to_14_years,335927
North Carolina,male,15_to_19_years,344666
North Carolina,male,20_to_24_years,362558
North Carolina,male,25_to_29_years,358557
North Carolina,male,30_to_34_years,322231
North Carolina,male,35_to_39_years,318127
North Carolina,male,40_to_44_years,311566
North Carolina,male,45_to_49_years,341750
